'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'171','MINI PITUSAS CHOCOL X160G','30','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'172','MINI PITUSAS FRUTILLA X160G','30','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'173','MINI PITUSAS MOUSSE X160G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'174','MINI PITUSAS VAINILLA X160G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'175','MINI PITUSAS CHIPPIS 120G','30',''
'176','MARMOLADAS PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179.jpg'
'178','MINI MANTECADO PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179.jpg'
'179','COCO PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179.jpg'
'180','MOROCHITAS PAR NOR X140G','30','D:\Fotos\ALMACEN\GALLETITAS\180 181 182.jpg'
'181','SUAVECITAS PAR NOR X140G','30','D:\Fotos\ALMACEN\GALLETITAS\180 181 182.jpg'
'182','MINI PEPITAS PAR NOR X160G','30','D:\Fotos\ALMACEN\GALLETITAS\180 181 182.jpg'
'195','MINI PITUSAS CHOCOL X300G FLIAR','16','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'196','MINI PITUSAS VAINILLA X300G FLIAR','16','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'197','MINI PITUSAS FRUTILLA X300G FLIAR','16','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'209','VAINILLAS LARA X 250G','15','D:\Fotos\ALMACEN\GALLETITAS\255 209.jpg'
'222','SALADIX TIRAS X6U 25G DUO','8','D:\Fotos\GOLOSINAS\SNAKS\222 225 226 227.jpg'
'223','SALADIX TIRAS X6U 30G PIZZA','8',''
'224','SALADIX TIRAS X6U 30G JAMON','8',''
'225','SALADIX JAMON 100GRS','24','D:\Fotos\GOLOSINAS\SNAKS\222 225 226 227.jpg'
